Itinerario;ID;Livello;Genitore;Titolo;Sottotitolo; Testo_storia;Testo_Audio_Cicerone;Immagine;Tipo_Card;latitudine;longitudine;mappaCartella
Rieti e dintorni;1;Percorso;;1.Rieti;;;;;Principale;;;
Rieti e dintorni;1,1;Paese;1;1.Rieti;;"Allungata su un’altura alla destra del Velino, la città (m 405, ab. 46 000 circa) è
ancora chiusa tra il fiume e le superstiti mura medievali, modificate nei secoli. La
passeggiata può partire da piazza Cavour e dal ponte che supera le sponde del
fiume. Via Roma sale alle contigue piazze del centro – Vittorio Emanuele II,
Battisti, Vittori –, spazi urbani di elegante sobrietà sui quali affacciano gli storici
palazzi del potere.";;immagini/rieti_pan.webp;Principale;;;mappe-offline/Rieti
Rieti e dintorni;INF1;Info / Contatto;1,1;APT Rieti ufficio info turistiche;Orari ;📍 Indirizzo: Piazza Vittorio Emanuele<br>📞 Telefono: 366 824 9734<br>🕒 Orari: Lunedì, Mercoledì e Venerdì: 08:30 - 13:00Martedì e Giovedì: 08:30 - 13:00 e 15:00 - 17:00<br>🌐 Sito web: https://www.apt.rieti.it;;;Info / Contatto;;;
Rieti e dintorni;1,1,1;Monumento;1,1;2.Piazza Cavour;;"si affaccia nelle acque limpide del Velino e si apre alla piacevole
passeggiata sul lungofiume, con tavolini di ristoranti e bar nella bella stagione.
Rivolto al fiume è anche il monumento alla Lira, realizzato nel 2003 con la fusione
di oltre 2 milioni di monete da 200 lire. Il ponte Velino che conduce all’imbocco
di via Roma è stato ricostruito dopo le distruzioni della seconda guerra mondiale;
in parte nascosti dall’acqua si scorgono i resti del ponte romano, costruito in
blocchi di travertino nel I secolo d.C. e parzialmente demolito nel 1932-36";;immagini/rieti_ponte.webp;Dettaglio;42,399786;12,860908;
Rieti e dintorni;1,1,2;Monumento;1,1;3.Palazzo comunale;;"In piazza Vittorio Emanuele II, l’edificio di fondazione
duecentesca si presenta con un prospetto settecentesco di gusto neo classico,
affiancato da una torre di stile razionalista eretta negli anni Trenta del ’900.
Accoglie il Municipio e la sezione storico-artistica del Museo civico, con dipinti
dal XIII al XX secolo. Spiccano un polittico di Luca di Tommè (1370), una Madonna
del Latte di Antoniazzo Romano (1464), un trittico con Crocifissione e santi
francescani di Zanino di Pietro (1405 circa), S. Leonardo che libera un carcerato di
Antonio Gherardi (1698), e le opere di Antonio Calcagnadoro, donate alla città
dalla moglie del pittore reatino nel 1937; tra le sculture si ammira nella prima
sala Ebe (1815), statua in gesso e bronzo dorato di Antonio Canova. Al centro
della piazza, la barocca fontana dei Delfini venne costruita nel XVII secolo nel
punto più alto della città, smembrata nel corso del ’900 e qui in seguito
ricollocata.";;immagini/rieti_com.webp;Dettaglio;42,402692;12,860917;
Rieti e dintorni;1,1,3;Monumento;1,1;4.Duomo;;"Duomo. Fondato nel XIII secolo su una basilica paleocristiana documentata
fin dal V secolo, il complesso della Cattedrale di S. Maria Assunta fu rimaneggiato
nel XV e ancora tra XVII e XIX secolo. È composto dalla chiesa superiore, dalla
chiesa inferiore o cripta, dal battistero (XIII secolo) e dal campanile romanico
(1252) che affaccia su piazza Cesare Battisti insieme al portico quattrocentesco:
romanico è anche il portale mediano. Nell’interno barocco si ammirano un
affresco, Madonna e santi, 1494, su disegno di Antoniazzo Romano nella 1a
cappella sinistra e una statua di S. Barbara su bozzetto di Bernini nella 4a. La
cripta è medievale, con colonne di spoglio provenienti dalla città romana.";;immagini/rieti_duomo.webp;Dettaglio;42,401333;12,859389;
Rieti e dintorni;1,1,4;Monumento;1,1;5.Palazzo papale *;;"Preceduto dallo scenografico monumento a S. Francesco
(1927), si riconosce per la loggia delle benedizioni e le profonde arcate gotiche
delle volte del Vescovado aperte al pianterreno. Ricostruito a partire dal 1283 su
un preesistente edificio di identica funzione, ospitò diversi papi tra cui Gregorio
IX che nel 1234 vi ricevette Federico II. Nell’ampio vestibolo che dà accesso al
palazzo un presepe con oltre 70 figure in terracotta, realizzato nel 2018, ricorda la
prima rappresentazione a Greccio per opera di san Francesco. Duecentesco è
anche l’arco del Vescovo, o di Bonifacio VIII, maestoso cavalcavia su via Cintia.";;immagini/rieti_papale.webp;Dettaglio;42,402361;12,858861;
Rieti e dintorni;1,1,5;Monumento;1,1;6.Pazza San Rufo;Umbilicus Italiae;"Racchiusa tra gli imponenti edifici di via Roma e di via
Garibaldi, cardo e decumano della città romana, mostra al centro un singolare
monumento circolare con il profilo della penisola italiana, realizzato tra gli anni
Ottanta e Novanta del ’900 per ricordare il tradizionale umbilicus italiae, secondo
le indicazioni di Marco Terenzio Varrone.";;immagini/rieti_umb.webp;Dettaglio;42,402194;12,826167;
Rieti e dintorni;1,1,6;Monumento;1,1;7.Rieti sotterranea;;"resti del viadotto romano fatto costruire per evitare l’impaludamento della via Salaria, l’antica via del sale. Questo poderoso manufatto permetteva alla consolare di entrare in città, assumendo così un ruolo d’estrema importanza per la Reate romana che necessitava di un diretto collegamento con L’Urbe. La struttura rintracciabile nei sotterranei di alcune nobili dimore è formata da grandiosi fornici di calcare a sostegno del piano stradale.
Orari visite: Tutti i sabato alle ore 11.00 e alle ore 18.00. Tutte le domeniche alle ore 11.00
Prefestivi e festivi con gli stessi orari.
Durata della visita: 1 ora 30 minuti circa";;immagini/rieti_sott.webp;Dettaglio;42,40003;12,86088;
Conca reatina;2;Percorso;;2.Conca reatina;18-ago;;itinerari/1_tour_concareatina-1.jpg, itinerari/1_tour_concareatina-2,jpg, itinerari/1_tour_concareatina-3.jpg,, itinerari/1_tour_concareatina-4.jpg;;Principale;;;
